food_id,name,current_value_status,recommended_primary_source,source_database_type,source_match_status,source_identifier,source_food_name,access_date,notes
F042,Almonds,prototype_value,USDA FoodData Central,SR Legacy/FNDDS,candidate_not_value_verified,,,2026-05-26,Generic almonds; salted versions differ in sodium.
F043,Peanut butter,prototype_value,USDA FoodData Central or branded label,FNDDS/Branded,candidate_not_value_verified,,,2026-05-26,Brand and added sugar/sodium vary.
F044,Ham,prototype_value,USDA FoodData Central or branded label,FNDDS/Branded,candidate_not_value_verified,,,2026-05-26,Processed meat; brand and curing method strongly affect sodium.
F045,Instant noodles,prototype_value,USDA FoodData Central or branded label,FNDDS/Branded,candidate_not_value_verified,,,2026-05-26,Processed product; brand-specific label is preferable.
F046,Pepperoni pizza,prototype_value,USDA FoodData Central or branded label,FNDDS/Branded,candidate_not_value_verified,,,2026-05-26,Composite processed food; use generic FNDDS or brand-specific entry.
F047,Salted crackers,prototype_value,USDA FoodData Central or branded label,FNDDS/Branded,candidate_not_value_verified,,,2026-05-26,Processed food; brand-specific label is preferable.
F048,Potato chips,prototype_value,USDA FoodData Central or branded label,FNDDS/Branded,candidate_not_value_verified,,,2026-05-26,Processed snack; sodium varies by product.
F049,Soda,prototype_value,USDA FoodData Central or branded label,FNDDS/Branded,candidate_not_value_verified,,,2026-05-26,Use regular sugar-sweetened carbonated beverage unless otherwise specified.
F050,Cookies,prototype_value,USDA FoodData Central or branded label,FNDDS/Branded,candidate_not_value_verified,,,2026-05-26,Composite processed food; brand/type affects sugar and sodium.
F051,Chocolate cake,prototype_value,USDA FoodData Central or branded label,FNDDS/Branded,candidate_not_value_verified,,,2026-05-26,Composite dessert; recipe/brand affects nutrients.
F052,Sugary cereal,prototype_value,USDA FoodData Central or branded label,FNDDS/Branded,candidate_not_value_verified,,,2026-05-26,Breakfast cereal is brand-variable; use specific branded entry for final audit.
F053,Bagel,prototype_value,USDA FoodData Central,SR Legacy/FNDDS,candidate_not_value_verified,,,2026-05-26,Generic plain bagel; size varies.
F054,Tuna canned in water,prototype_value,USDA FoodData Central or branded label,FNDDS/Branded,candidate_not_value_verified,,,2026-05-26,Canned tuna varies by brand and sodium.
F055,Edamame,prototype_value,USDA FoodData Central or China Food Composition Table,SR Legacy/FNDDS or national table,candidate_not_value_verified,,,2026-05-26,Generic edamame; Chinese/Asian database may be preferable for regional extension.
